date,entry,exit,candidate_forward_return,strategy_realized_return,v13_style_net,difference,formula_gap,n_elig,n_sel,n_fill,cash_frac,cause
2010-01-04,2010-01-05,2010-02-02,-0.03625306080642856,-0.035506237131452956,-0.03625306080642856,0.0007468236749756038,0.0007468236749756038,1438,288,283,0.01736111111111116,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-02-01,2010-02-02,2010-03-09,0.0537036439758311,0.05182898312670936,0.0537036439758311,-0.0018746608491217384,-0.0018746608491217384,1435,287,278,0.03135888501742157,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-03-08,2010-03-09,2010-04-07,0.030239793047234207,0.029614935402866083,0.030239793047234207,-0.0006248576443681243,-0.0006248576443681243,1474,295,290,0.016949152542372947,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-04-06,2010-04-07,2010-05-06,-0.09306641069475807,-0.09054639395817987,-0.09306641069475807,0.002520016736578201,0.002520016736578201,1474,295,288,0.023728813559322104,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-05-05,2010-05-06,2010-06-03,-0.11998621550445994,-0.11514373549671553,-0.11998621550445994,0.0048424800077444125,0.0048424800077444125,1486,297,286,0.03703703703703709,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-06-02,2010-06-03,2010-07-06,-0.11504366319829916,-0.10940186919411465,-0.11504366319829916,0.0056417940041845055,0.0056417940041845055,1530,306,292,0.04575163398692805,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-07-05,2010-07-06,2010-08-03,0.15545564404243192,0.15091658723297874,0.15545564404243192,-0.004539056809453185,-0.004539056809453185,1553,311,303,0.025723472668810254,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-08-02,2010-08-03,2010-08-31,0.03918571691948796,0.038545834222822206,0.03918571691948796,-0.0006398826966657542,-0.0006398826966657542,1580,316,312,0.012658227848101333,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-08-30,2010-08-31,2010-10-08,0.008881971501074126,0.008648758458355887,0.008881971501074126,-0.00023321304271823814,-0.00023321304271823814,1596,319,312,0.021943573667711602,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-09-30,2010-10-08,2010-11-05,0.10016626158608924,0.09768263921938392,0.10016626158608924,-0.0024836223667053237,-0.0024836223667053237,1647,329,322,0.021276595744680882,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-11-04,2010-11-05,2010-12-03,-0.01797596491426029,-0.01722528362801501,-0.01797596491426029,0.0007506812862452805,0.0007506812862452805,1674,335,322,0.03880597014925369,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-12-02,2010-12-03,2010-12-31,-0.04637087350440242,-0.044575001039731554,-0.04637087350440242,0.0017958724646708682,0.0017958724646708682,1689,338,326,0.03550295857988173,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-12-30,2010-12-31,2011-01-31,-0.03152002890763282,-0.03049312900439427,-0.03152002890763282,0.0010268999032385512,0.0010268999032385512,1698,340,330,0.02941176470588236,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-01-28,2011-01-31,2011-03-07,0.08970967243346246,0.08527662949307224,0.08970967243346246,-0.004433042940390222,-0.004433042940390222,1742,348,332,0.04597701149425293,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-03-04,2011-03-07,2011-04-06,0.0030808083228641373,0.00300998645992423,0.0030808083228641373,-7.082186293990746e-05,-7.082186293990746e-05,1765,353,347,0.016997167138810165,SAME_SIGNAL_DATE|UNFILLED_CASH
2011-04-01,2011-04-06,2011-05-05,-0.0462741225355204,-0.04495016387417261,-0.0462741225355204,0.0013239586613477891,0.0013239586613477891,1775,355,346,0.025352112676056304,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-05-04,2011-05-05,2011-06-02,-0.10563481284024646,-0.10237135307919554,-0.10563481284024646,0.003263459761050927,0.003263459761050927,1815,363,353,0.02754820936639113,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-06-01,2011-06-02,2011-07-01,-0.017790377098378697,-0.017305530957412496,-0.017790377098378697,0.0004848461409662011,0.0004848461409662011,1855,371,362,0.02425876010781669,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-06-30,2011-07-01,2011-07-29,0.001865991402656567,0.0018167397998727353,0.001865991402656567,-4.9251602783831686e-05,-4.9251602783831686e-05,1867,373,366,0.018766756032171594,SAME_SIGNAL_DATE|UNFILLED_CASH
2011-07-28,2011-07-29,2011-08-26,-0.02752422552998288,-0.026794060181800083,-0.02752422552998288,0.0007301653481827965,0.0007301653481827965,1923,385,376,0.023376623376623384,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-08-25,2011-08-26,2011-09-26,-0.08059223459747773,-0.07763962370983679,-0.08059223459747773,0.0029526108876409413,0.0029526108876409413,1952,390,377,0.033333333333333326,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-09-23,2011-09-26,2011-10-31,-0.009241600285175577,-0.009123954402463497,-0.009241600285175577,0.00011764588271208007,0.00011764588271208007,1981,396,392,0.010101010101010055,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-10-28,2011-10-31,2011-11-28,-0.010740476523372768,-0.010363434341096323,-0.010740476523372768,0.000377042182276445,0.000377042182276445,2004,401,388,0.032418952618453845,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-11-25,2011-11-28,2011-12-26,-0.12549125374837752,-0.12011746162822146,-0.12549125374837752,0.005373792120156068,0.005373792120156068,2023,405,389,0.03950617283950619,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-12-23,2011-12-26,2012-02-01,-0.036938970746589195,-0.035641079674118115,-0.036938970746589195,0.0012978910724710802,0.0012978910724710802,2036,407,394,0.03194103194103193,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-01-31,2012-02-01,2012-02-29,0.10851427233420305,0.1055004483216404,0.10851427233420305,-0.0030138240125626437,-0.0030138240125626437,2062,412,402,0.024271844660194275,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-02-28,2012-02-29,2012-03-28,-0.029208398344156998,-0.028340108017645194,-0.029208398344156998,0.0008682903265118044,0.0008682903265118044,2068,414,403,0.02657004830917875,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-03-27,2012-03-28,2012-05-02,0.018773653330814228,0.01811813817481389,0.018773653330814228,-0.0006555151560003365,-0.0006555151560003365,2091,418,405,0.031100478468899517,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-04-27,2012-05-02,2012-05-30,-0.02678856513016643,-0.025781563121612505,-0.02678856513016643,0.0010070020085539248,0.0010070020085539248,2032,406,392,0.03448275862068961,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-05-29,2012-05-30,2012-06-28,-0.06298981669197228,-0.0578556078334751,-0.06298981669197228,0.005134208858497177,0.005134208858497177,2107,421,388,0.0783847980997624,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-06-27,2012-06-28,2012-07-26,-0.059055672368618535,-0.05651826474078625,-0.059055672368618535,0.0025374076278322846,0.0025374076278322846,2141,428,411,0.03971962616822433,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-07-25,2012-07-26,2012-08-23,-0.0071228881989172385,-0.007024860797192889,-0.0071228881989172385,9.802740172434963e-05,9.802740172434963e-05,2193,439,434,0.011389521640091216,SAME_SIGNAL_DATE|UNFILLED_CASH
2012-08-22,2012-08-23,2012-09-20,-0.024253918957484227,-0.02417659778742809,-0.024253918957484227,7.732117005613756e-05,7.732117005613756e-05,2215,443,443,1.1102230246251565e-16,SAME_SIGNAL_DATE
2012-09-19,2012-09-20,2012-10-25,0.004638047792488221,0.004583106772840351,0.004638047792488221,-5.494101964787033e-05,-5.494101964787033e-05,2258,451,448,0.006651884700665134,SAME_SIGNAL_DATE|UNFILLED_CASH
