timestamp_utc,timestamp_unix,open,high,low,close,tick_volume,real_volume,spread
2018-12-12T00:00:00Z,1544572800,786.5,807.1,785.0,803.0,7808,0,9
2018-12-13T00:00:00Z,1544659200,803.2,808.1,790.1,797.3,10164,0,9
2018-12-14T00:00:00Z,1544745600,796.0,797.2,780.8,787.4,9454,0,9
2018-12-17T00:00:00Z,1545004800,786.8,797.8,782.2,793.0,8135,0,9
2018-12-18T00:00:00Z,1545091200,793.7,795.3,785.6,790.9,8158,0,9
2018-12-19T00:00:00Z,1545177600,791.1,798.8,785.1,786.1,10354,0,9
2018-12-20T00:00:00Z,1545264000,785.6,798.3,784.6,794.9,13024,0,9
2018-12-21T00:00:00Z,1545350400,795.6,798.0,787.5,788.4,9939,0,9
2018-12-24T00:00:00Z,1545609600,788.0,797.8,787.9,787.9,6840,0,9
2018-12-26T00:00:00Z,1545782400,790.1,803.8,787.9,798.5,8420,0,9
2018-12-27T00:00:00Z,1545868800,798.6,801.8,784.6,795.9,7758,0,9
2018-12-28T00:00:00Z,1545955200,796.3,800.0,787.2,788.6,7831,0,9
2018-12-31T00:00:00Z,1546214400,790.2,801.9,769.6,769.6,5627,0,9
2019-01-01T00:00:00Z,1546300800,792.7,800.2,792.7,794.7,139,0,9
2019-01-02T00:00:00Z,1546387200,800.3,802.6,781.8,792.7,10100,0,9
2019-01-03T00:00:00Z,1546473600,798.3,804.9,789.7,798.0,9196,0,9
2019-01-04T00:00:00Z,1546560000,798.0,826.9,794.5,820.2,11527,0,9
2019-01-06T00:00:00Z,1546732800,819.7,827.4,817.7,818.5,291,0,9
2019-01-07T00:00:00Z,1546819200,818.5,835.4,818.2,825.8,9257,0,9
2019-01-08T00:00:00Z,1546905600,826.1,830.0,817.0,824.9,8174,0,9
2019-01-09T00:00:00Z,1546992000,825.1,829.8,822.2,829.1,8500,0,9
2019-01-10T00:00:00Z,1547078400,829.5,832.8,822.6,823.4,8590,0,9
2019-01-11T00:00:00Z,1547164800,823.7,828.5,813.1,813.8,7764,0,9
2019-01-14T00:00:00Z,1547424000,813.8,816.3,801.1,808.2,7196,0,9
2019-01-15T00:00:00Z,1547510400,808.1,809.3,798.1,803.3,8048,0,9
2019-01-16T00:00:00Z,1547596800,803.1,810.2,799.8,808.8,7484,0,9
2019-01-17T00:00:00Z,1547683200,808.5,815.5,803.1,811.9,8074,0,9
2019-01-18T00:00:00Z,1547769600,811.7,817.6,797.1,799.8,7250,0,9
2019-01-20T00:00:00Z,1547942400,799.5,802.5,796.6,800.8,225,0,8
2019-01-21T00:00:00Z,1548028800,800.6,803.5,795.9,798.0,4526,0,8
2019-01-22T00:00:00Z,1548115200,797.8,800.4,788.3,793.5,7610,0,9
2019-01-23T00:00:00Z,1548201600,793.1,797.9,790.5,797.0,5994,0,8
2019-01-24T00:00:00Z,1548288000,796.6,806.6,791.6,804.3,6826,0,9
2019-01-25T00:00:00Z,1548374400,804.2,821.5,803.4,820.2,7036,0,9
2019-01-27T00:00:00Z,1548547200,820.3,820.4,817.9,817.9,212,0,8
2019-01-28T00:00:00Z,1548633600,817.9,821.6,810.4,813.5,6277,0,9
2019-01-29T00:00:00Z,1548720000,814.2,821.0,812.7,815.8,6687,0,9
2019-01-30T00:00:00Z,1548806400,816.1,823.3,814.1,819.1,8013,0,9
