date,open,high,low,close,volume,open_interest,settle
2024-12-26,44000.000,44000.000,41010.000,41570.000,301655,31271,41845.000
2024-12-27,41600.000,42160.000,41225.000,41950.000,172813,32846,41765.000
2024-12-30,41900.000,43010.000,41750.000,42535.000,136506,35565,42460.000
2024-12-31,42570.000,42705.000,42230.000,42465.000,74312,31540,42455.000
2025-01-02,42315.000,42680.000,42315.000,42570.000,36858,30447,42495.000
2025-01-03,42570.000,42780.000,42365.000,42560.000,37079,29242,42520.000
2025-01-06,42600.000,43600.000,42560.000,43325.000,68310,31663,43150.000
2025-01-07,43325.000,43450.000,42765.000,43185.000,39615,30357,43080.000
2025-01-08,43185.000,43390.000,42650.000,42700.000,30253,28183,42910.000
2025-01-09,43000.000,43000.000,42165.000,42575.000,36908,27681,42525.000
2025-01-10,42660.000,43480.000,42435.000,43070.000,33598,26973,43030.000
2025-01-13,43270.000,43480.000,42865.000,43385.000,22370,26759,43180.000
2025-01-14,43305.000,43850.000,43120.000,43650.000,34850,28130,43535.000
2025-01-15,43550.000,44640.000,43550.000,44225.000,79215,30974,44085.000
2025-01-16,44235.000,44445.000,43800.000,44130.000,29190,29862,44070.000
2025-01-17,44130.000,45190.000,44015.000,44940.000,63067,33745,44780.000
2025-01-20,44505.000,45060.000,44505.000,44705.000,22940,31434,44695.000
2025-01-21,44780.000,44850.000,43940.000,44265.000,33834,27276,44310.000
2025-01-22,44000.000,44185.000,43360.000,43770.000,29641,25171,43680.000
2025-01-23,43760.000,43965.000,43315.000,43380.000,17719,23863,43670.000
2025-01-24,43310.000,43770.000,42965.000,43195.000,21936,22291,43325.000
2025-01-27,43325.000,43735.000,43100.000,43730.000,10720,21281,43465.000
2025-02-05,43540.000,44140.000,42820.000,43200.000,16243,21144,43305.000
2025-02-06,43200.000,43880.000,43180.000,43795.000,14408,21881,43590.000
2025-02-07,43800.000,44645.000,43740.000,44105.000,29414,23491,44245.000
2025-02-10,44000.000,44555.000,43805.000,44435.000,15906,22558,44180.000
2025-02-11,44500.000,44550.000,43705.000,43870.000,17071,20978,43970.000
2025-02-12,43810.000,44275.000,43800.000,43915.000,10612,21113,44015.000
2025-02-13,43950.000,44150.000,43620.000,43810.000,10801,20722,43830.000
2025-02-14,44100.000,44260.000,43845.000,44150.000,10245,20607,44095.000
2025-02-17,44100.000,44360.000,43915.000,44270.000,11211,21064,44165.000
2025-02-18,44270.000,44400.000,44085.000,44160.000,8338,20826,44230.000
2025-02-19,44270.000,44275.000,44015.000,44060.000,6023,20673,44105.000
2025-02-20,43950.000,44080.000,43660.000,43765.000,12769,21133,43805.000
2025-02-21,43860.000,44100.000,43555.000,43825.000,9263,20748,43820.000
2025-02-24,43690.000,43920.000,43610.000,43900.000,5589,20892,43755.000
2025-02-25,43840.000,44065.000,43710.000,43835.000,10150,20268,43870.000
2025-02-26,43805.000,44600.000,43660.000,44515.000,24931,22666,44260.000
2025-02-27,44500.000,44795.000,44310.000,44550.000,15975,22751,44515.000
2025-02-28,44535.000,44620.000,44155.000,44265.000,8912,21465,44350.000
2025-03-03,44265.000,44480.000,44125.000,44390.000,6564,21668,44340.000
2025-03-04,44290.000,44415.000,43800.000,44100.000,8341,21212,44125.000
2025-03-05,44100.000,44145.000,43800.000,43875.000,8253,22081,43900.000
2025-03-06,43905.000,44480.000,43720.000,44400.000,19426,24043,44105.000
2025-03-07,44400.000,44450.000,43980.000,44015.000,8087,23011,44215.000
2025-03-10,44060.000,44200.000,43815.000,43850.000,7812,23847,44010.000
2025-03-11,43900.000,44180.000,43900.000,44150.000,8147,24000,44050.000
2025-03-12,44160.000,44255.000,43910.000,44050.000,6314,24087,44065.000
2025-03-13,44060.000,44230.000,43950.000,44120.000,6781,24270,44075.000
2025-03-14,43995.000,44185.000,43750.000,43770.000,12131,25293,43925.000
2025-03-17,43780.000,43780.000,43070.000,43220.000,25926,27936,43300.000
2025-03-18,43220.000,43495.000,42480.000,43080.000,37040,29242,42985.000
2025-03-19,43135.000,43660.000,42700.000,43610.000,25441,29415,43240.000
2025-03-20,43610.000,43990.000,43355.000,43695.000,27964,28956,43650.000
2025-03-21,43790.000,43890.000,43340.000,43515.000,13387,29108,43535.000
2025-03-24,43550.000,43750.000,43405.000,43640.000,9043,28148,43590.000
2025-03-25,43640.000,43860.000,43600.000,43795.000,9404,27517,43755.000
2025-03-26,43840.000,43990.000,43600.000,43640.000,12352,27277,43785.000
2025-03-27,43680.000,43880.000,43560.000,43760.000,7933,27255,43730.000
2025-03-28,43760.000,43850.000,43510.000,43650.000,7080,27368,43650.000
2025-03-31,43635.000,43635.000,43285.000,43460.000,9308,27527,43440.000
2025-04-01,43500.000,43650.000,43325.000,43560.000,7083,26637,43500.000
2025-04-02,43500.000,43780.000,43425.000,43680.000,11281,28096,43660.000
